"Parasite.species","Parasite.group","minLCL","maxLCL","midLCL","Host.no","Facultative","Stage","Def.int","Flex.cycle","Length","Width","Biovolume","Host.nofac","complete_size"
"Oesophagostomum radiatum","nematode",1,1,1,0,NA,"free larva",NA,"no",0.80475,NA,NA,"propagule","incomplete"
"Oesophagostomum radiatum","nematode",1,1,1,1,"no","adult","def","no",19,0.475,3.36690375171444,"1st","incomplete"
"Oesophagostomum venulosum","nematode",1,1,1,0,NA,"free larva",NA,"no",0.899,0.03,0.000635465654004875,"propagule","complete"
"Oesophagostomum venulosum","nematode",1,1,1,1,"no","adult","def","no",17.3,0.443076923,2.84981144094828,"1st","complete"
"Ohbayashinema erbaevae","nematode",1,1,1,0,NA,"free larva",NA,"no",0.432,0.024,0.000195432195794514,"propagule","complete"
"Ohbayashinema erbaevae","nematode",1,1,1,1,"no","adult","def","no",15.8345,0.1275,0.274773189339458,"1st","complete"
"Oligacanthorhynchus tortuosa","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Oligacanthorhynchus tortuosa","acanthocephalan",2,2,2,1,"no","1larv","int","no",4.4565,0.7715,2.0902672973086,"1st","incomplete"
"Oligacanthorhynchus tortuosa","acanthocephalan",2,2,2,2,"no","adult","def","no",179,7.1,7086.9539336189,"2nd","incomplete"
"Ollulanus tricuspis","nematode",1,1,1,0,NA,"free larva",NA,"no",0.41,0.0185,0.000123307511653399,"propagule","incomplete"
"Ollulanus tricuspis","nematode",1,1,1,1,"no","adult","def","no",0.95,NA,NA,"1st","incomplete"
"Onchobothrium antarcticum","cestode",3,3,3,0,NA,"embryo",NA,"no",0.0415,0.0415,0.00090176799127417,"propagule","incomplete"
