Parasite.species,Parasite.group,minLCL,maxLCL,midLCL,Host.no,Facultative,Stage,Def.int,Flex.cycle,Length,Width,Biovolume,Host.nofac,trans_to_int,trans_to_def,trans_to_fac,trans_to_human,complete_size
Metastrongylus apri,nematode,2,2,2,1,no,1larv,int,no,0.5875,0.026,0.000342449,1st,no,yes,no,yes,complete
Metastrongylus apri,nematode,2,2,2,2,no,adult,def,no,37.08333333,0.4198,5.910206087,2nd,no,no,no,no,complete
Metastrongylus pudendotectus,nematode,2,2,2,0,NA,embryo,NA,no,0.3075,0.013,4.08E-05,propagule,yes,no,no,no,incomplete
Metastrongylus pudendotectus,nematode,2,2,2,1,no,1larv,int,no,0.6275,0.026,0.000333158,1st,no,yes,no,no,incomplete
Metastrongylus pudendotectus,nematode,2,2,2,2,no,adult,def,no,28.71,NA,NA,2nd,no,no,no,no,incomplete
Metastrongylus salmi,nematode,2,2,2,0,NA,embryo,NA,no,0.285,0.012,3.22E-05,propagule,yes,no,no,no,incomplete
Metastrongylus salmi,nematode,2,2,2,1,no,1larv,int,no,0.59,NA,NA,1st,no,yes,no,no,incomplete
Metastrongylus salmi,nematode,2,2,2,2,no,adult,def,no,32.6,0.3632,3.781589867,2nd,no,no,no,no,incomplete
Metroliasthes lucida,cestode,2,2,2,0,NA,embryo,NA,no,0.03,0.03,0.000471239,propagule,yes,no,no,no,complete
Metroliasthes lucida,cestode,2,2,2,1,no,1larv,int,no,0.515,0.4285,0.115546469,1st,no,yes,no,no,complete
Metroliasthes lucida,cestode,2,2,2,2,no,adult,def,no,200,2.075,415,2nd,no,no,no,no,complete
Microcephaloides variabilis,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Microcephaloides variabilis,cestode,2,2,2,1,no,1larv,int,no,0.117,0.108,0.006616194,1st,no,yes,no,no,incomplete
Microcephaloides variabilis,cestode,2,2,2,2,no,adult,def,no,38.5,2.7,100.8,2nd,no,no,no,no,incomplete
Micropleura indica,nematode,2,2,2,0,NA,free larva,NA,no,0.795,0.02,0.000249757,propagule,yes,no,no,no,complete
Micropleura indica,nematode,2,2,2,1,no,1larv,int,no,0.62,0.0315,0.000483173,1st,no,yes,no,no,complete
Micropleura indica,nematode,2,2,2,2,no,adult,def,no,22.25,0.855,12.83407358,2nd,no,no,no,no,complete
Microsomacanthus albertensis,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Microsomacanthus albertensis,cestode,2,2,2,1,no,1larv,int,no,0.31,0.22,0.035709436,1st,no,yes,no,no,incomplete
Microsomacanthus albertensis,cestode,2,2,2,2,no,adult,def,no,5.5,0.3825,2.10375,2nd,no,no,no,no,incomplete
Microsomacanthus compressa,cestode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Microsomacanthus compressa,cestode,2,3,2.5,1,no,1larv,int,yes,0.264416667,0.214166667,0.030210755,1st,yes,no,yes,no,incomplete
Microsomacanthus compressa,cestode,2,3,2.5,2,paratenic,2larv,int,yes,0.231,0.205,0.02479502,2nd,no,yes,no,no,incomplete
Microsomacanthus compressa,cestode,2,3,2.5,3,no,adult,def,yes,31.25,0.685,20.6625,3rd,no,no,no,no,incomplete
Microsomacanthus diorchis,cestode,2,2,2,0,NA,embryo,NA,no,0.0495,0.0305,0.000790503,propagule,yes,no,no,no,incomplete
Microsomacanthus diorchis,cestode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,incomplete
Microsomacanthus diorchis,cestode,2,2,2,2,no,adult,def,no,6.8,0.34375,2.5664375,2nd,no,no,no,no,incomplete
Microsomacanthus ductilis,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Microsomacanthus ductilis,cestode,2,2,2,1,no,1larv,int,no,0.32,0.222,0.03742684,1st,no,yes,no,no,incomplete
Microsomacanthus ductilis,cestode,2,2,2,2,no,adult,def,no,18,0.5,9,2nd,no,no,no,no,incomplete
Microsomacanthus hopkinsi,cestode,2,2,2,0,NA,embryo,NA,no,0.0245,0.02,0.000293215,propagule,yes,no,no,no,complete
Microsomacanthus hopkinsi,cestode,2,2,2,1,no,1larv,int,no,0.19725,0.15725,0.016315272,1st,no,yes,no,no,complete
Microsomacanthus hopkinsi,cestode,2,2,2,2,no,adult,def,no,14.3,0.3282,4.844,2nd,no,no,no,no,complete
Microsomacanthus microskrjabini,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Microsomacanthus microskrjabini,cestode,2,2,2,1,no,1larv,int,no,0.26,0.155,0.021101031,1st,no,yes,no,no,incomplete
Microsomacanthus microskrjabini,cestode,2,2,2,2,no,adult,def,no,3.5,0.495,1.7325,2nd,no,no,no,no,incomplete
Microsomacanthus paracompressa,cestode,2,3,2.5,0,NA,embryo,NA,yes,0.02596,0.0197125,0.000286439,propagule,yes,no,no,no,complete
Microsomacanthus paracompressa,cestode,2,3,2.5,1,no,1larv,int,yes,0.25075,0.20075,0.026355279,1st,yes,no,yes,no,complete
Microsomacanthus paracompressa,cestode,2,3,2.5,2,paratenic,2larv,int,yes,0.21,0.202,0.02221106,2nd,no,yes,no,no,complete
Microsomacanthus paracompressa,cestode,2,3,2.5,3,no,adult,def,yes,32.32,0.896,33.243,3rd,no,no,no,no,complete
Microsomacanthus paramicrosoma,cestode,2,3,2.5,0,NA,embryo,NA,yes,0.028,0.023,0.000337198,propagule,yes,no,no,no,complete
Microsomacanthus paramicrosoma,cestode,2,3,2.5,1,no,1larv,int,yes,0.25,0.2,0.026179939,1st,yes,no,yes,no,complete
Microsomacanthus paramicrosoma,cestode,2,3,2.5,2,paratenic,2larv,int,yes,0.203,0.2,0.02125811,2nd,no,yes,no,no,complete
Microsomacanthus paramicrosoma,cestode,2,3,2.5,3,no,adult,def,yes,21.5,0.9425,19.74625,3rd,no,no,no,no,complete
Microsomacanthus paraparvula,cestode,2,2,2,0,NA,embryo,NA,no,0.03,0.0245,0.000384845,propagule,yes,no,no,no,complete
Microsomacanthus paraparvula,cestode,2,2,2,1,no,1larv,int,no,0.44,0.316,0.072801174,1st,no,yes,no,no,complete
Microsomacanthus paraparvula,cestode,2,2,2,2,no,adult,def,no,4.025,0.184,0.4416,2nd,no,no,no,no,complete
Microsomacanthus pusilla,cestode,2,2,2,0,NA,embryo,NA,no,0.025,0.022,0.000287979,propagule,yes,no,no,no,complete
Microsomacanthus pusilla,cestode,2,2,2,1,no,1larv,int,no,0.171,0.14,0.012534955,1st,no,yes,no,no,complete
Microsomacanthus pusilla,cestode,2,2,2,2,no,adult,def,no,0.953,0.301,0.286853,2nd,no,no,no,no,complete
Microsomacanthus spinocirrosa,cestode,2,2,2,0,NA,embryo,NA,no,0.03175,0.02525,0.000423002,propagule,yes,no,no,no,complete
Microsomacanthus spinocirrosa,cestode,2,2,2,1,no,1larv,int,no,0.178,0.145,0.013514084,1st,no,yes,no,no,complete
Microsomacanthus spinocirrosa,cestode,2,2,2,2,no,adult,def,no,2.595,0.325,0.84485,2nd,no,no,no,no,complete
Microsomacanthus spiralibursata,cestode,2,3,2.5,0,NA,embryo,NA,yes,0.022,NA,NA,propagule,yes,no,no,no,incomplete
Microsomacanthus spiralibursata,cestode,2,3,2.5,1,no,1larv,int,yes,0.23,0.1825,0.022161318,1st,yes,no,yes,no,incomplete
Microsomacanthus spiralibursata,cestode,2,3,2.5,2,paratenic,2larv,int,yes,0.251,0.1815,0.023853328,2nd,no,yes,no,no,incomplete
Microsomacanthus spiralibursata,cestode,2,3,2.5,3,no,adult,def,yes,7.85,0.5975,6.723375,3rd,no,no,no,no,incomplete
Microsomacanthus trombidacantha,cestode,2,2,2,0,NA,embryo,NA,no,0.028,0.025,0.000366519,propagule,yes,no,no,no,complete
Microsomacanthus trombidacantha,cestode,2,2,2,1,no,1larv,int,no,0.159,0.128,0.010656282,1st,no,yes,no,no,complete
Microsomacanthus trombidacantha,cestode,2,2,2,2,no,adult,def,no,12,0.24,2.88,2nd,no,no,no,no,complete
Microsomacanthus tuvensis,cestode,2,2,2,0,NA,embryo,NA,no,0.0375,0.03075,0.000602793,propagule,yes,no,no,no,complete
Microsomacanthus tuvensis,cestode,2,2,2,1,no,1larv,int,no,0.169,0.128,0.011324918,1st,no,yes,no,no,complete
Microsomacanthus tuvensis,cestode,2,2,2,2,no,adult,def,no,10.92,0.2985,2.756,2nd,no,no,no,no,complete
Microtetrameres centuri,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Microtetrameres centuri,nematode,2,2,2,1,no,1larv,int,no,1.481,0.049,0.002792782,1st,no,yes,no,no,incomplete
Microtetrameres centuri,nematode,2,2,2,2,no,adult,def,no,1.55,0.8,0.649262482,2nd,no,no,no,no,incomplete
Microtetrameres corax,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Microtetrameres corax,nematode,2,2,2,1,no,1larv,int,no,2.25,0.0655,0.007609144,1st,no,yes,no,no,incomplete
Microtetrameres corax,nematode,2,2,2,2,no,adult,def,no,1.25,1.1,0.719948316,2nd,no,no,no,no,incomplete
Microtetrameres helix,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Microtetrameres helix,nematode,2,2,2,1,no,1larv,int,no,2.435,0.8,1.223964498,1st,no,yes,no,no,incomplete
Microtetrameres helix,nematode,2,2,2,2,no,adult,def,no,1.25,1.15,0.75267324,2nd,no,no,no,no,incomplete
Microtetrameres inermis,nematode,2,2,2,0,NA,embryo,NA,no,0.235,NA,NA,propagule,yes,no,no,no,incomplete
Microtetrameres inermis,nematode,2,2,2,1,no,1larv,int,no,1.55,0.058,0.004095223,1st,no,yes,no,no,incomplete
Microtetrameres inermis,nematode,2,2,2,2,no,adult,def,no,1.71,1.18,0.877342108,2nd,no,no,no,no,incomplete
Molineus barbatus,nematode,1,1,1,0,NA,free larva,NA,no,0.52,NA,NA,propagule,no,yes,no,no,incomplete
Molineus barbatus,nematode,1,1,1,1,no,adult,def,no,6.375,0.071,0.023953112,1st,no,no,no,no,incomplete
Molluscotaenia crassiscolex,cestode,2,2,2,0,NA,embryo,NA,no,0.027,0.015,0.000212058,propagule,yes,no,no,no,complete
Molluscotaenia crassiscolex,cestode,2,2,2,1,no,1larv,int,no,0.55575,0.55575,0.162742942,1st,no,yes,no,no,complete
Molluscotaenia crassiscolex,cestode,2,2,2,2,no,adult,def,no,21.06666667,1.083333333,21.08,2nd,no,no,no,no,complete
Molluscotaenia estavarensis,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Molluscotaenia estavarensis,cestode,2,2,2,1,no,1larv,int,no,0.53,0.53,0.147078896,1st,no,yes,no,no,incomplete
Molluscotaenia estavarensis,cestode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Moniezia benedeni,cestode,2,2,2,0,NA,embryo,NA,no,0.0229,0.0213,0.000255396,propagule,yes,no,no,no,complete
Moniezia benedeni,cestode,2,2,2,1,no,1larv,int,no,0.143633333,0.133333333,0.010132779,1st,no,yes,no,no,complete
Moniezia benedeni,cestode,2,2,2,2,no,adult,def,no,2220,16,35520,2nd,no,no,no,no,complete
Moniezia expansa,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Moniezia expansa,cestode,2,2,2,1,no,1larv,int,no,0.162125,0.140616667,0.012080768,1st,no,yes,no,no,incomplete
Moniezia expansa,cestode,2,2,2,2,no,adult,def,no,2733.333333,9.235714286,27373.33333,2nd,no,no,no,no,incomplete
Moniliformis clarki,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.047,0.025,0.000615229,propagule,yes,no,no,no,complete
Moniliformis clarki,acanthocephalan,2,2,2,1,no,1larv,int,no,0.75,0.22,0.028509953,1st,no,yes,no,no,complete
Moniliformis clarki,acanthocephalan,2,2,2,2,no,adult,def,no,146.6666667,2.2,633.4288548,2nd,no,no,no,no,complete
Moniliformis moniliformis,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.08325,0.03125,0.001364237,propagule,yes,no,no,no,complete
Moniliformis moniliformis,acanthocephalan,2,2,2,1,no,1larv,int,no,1.085214286,0.755761905,0.489291896,1st,no,yes,no,no,complete
Moniliformis moniliformis,acanthocephalan,2,2,2,2,no,adult,def,no,141.1666667,2.183333333,634.6550577,2nd,no,no,no,no,complete
Monobothrium hunteri,cestode,2,2,2,0,NA,embryo,NA,no,0.045,0.019,0.000447677,propagule,yes,no,no,no,complete
Monobothrium hunteri,cestode,2,2,2,1,no,1larv,int,no,0.8,0.275,0.047516589,1st,no,yes,no,no,complete
Monobothrium hunteri,cestode,2,2,2,2,no,adult,def,no,13.9,0.9,8.842797922,2nd,no,no,no,no,complete
Monobothrium ingens,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Monobothrium ingens,cestode,2,2,2,1,no,1larv,int,no,2.1,0.19,0.059541035,1st,no,yes,no,no,incomplete
Monobothrium ingens,cestode,2,2,2,2,no,adult,def,no,60,NA,NA,2nd,no,no,no,no,incomplete
Monobothrium ulmeri,cestode,2,2,2,0,NA,embryo,NA,no,0.048,0.021,0.000527788,propagule,yes,no,no,no,complete
Monobothrium ulmeri,cestode,2,2,2,1,no,1larv,int,no,2.4,0.296296296,0.165483069,1st,no,yes,no,no,complete
Monobothrium ulmeri,cestode,2,2,2,2,no,adult,def,no,15.2,1,11.93805208,2nd,no,no,no,no,complete
Monoecocestus sigmodontis,cestode,2,2,2,0,NA,embryo,NA,no,0.017,0.017,0.00015132,propagule,yes,no,no,no,complete
Monoecocestus sigmodontis,cestode,2,2,2,1,no,1larv,int,no,0.1,0.095,0.004974188,1st,no,yes,no,no,complete
Monoecocestus sigmodontis,cestode,2,2,2,2,no,adult,def,no,43.25,3,129.75,2nd,no,no,no,no,complete
Monoecocestus sp.,cestode,2,2,2,0,NA,embryo,NA,no,0.017,0.017,0.00015132,propagule,yes,no,no,no,complete
Monoecocestus sp.,cestode,2,2,2,1,no,1larv,int,no,0.153,0.153,0.012352219,1st,no,yes,no,no,complete
Monoecocestus sp.,cestode,2,2,2,2,no,adult,def,no,124.375,7.85,976.2625,2nd,no,no,no,no,complete
Mosgovoyia pectinata,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Mosgovoyia pectinata,cestode,2,2,2,1,no,1larv,int,no,0.138,0.138,0.009971415,1st,no,yes,no,no,incomplete
Mosgovoyia pectinata,cestode,2,2,2,2,no,adult,def,no,99.8,10.9,1119.1,2nd,no,no,no,no,incomplete
Muellerius capillaris,nematode,2,2,2,0,NA,free larva,NA,no,0.328633333,0.017933333,9.64E-05,propagule,yes,no,no,no,complete
Muellerius capillaris,nematode,2,2,2,1,no,1larv,int,no,0.63912,0.049333333,0.00144933,1st,no,yes,no,no,complete
Muellerius capillaris,nematode,2,2,2,2,no,adult,def,no,22.5,0.0575,0.06288094,2nd,no,no,no,no,complete
Multitesticulata filamentosa,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,all missing
Multitesticulata filamentosa,cestode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,all missing
Multitesticulata filamentosa,cestode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,all missing
Muspicea borreli,nematode,1,1,1,0,NA,free larva,NA,no,0.3025,0.0165,6.47E-05,propagule,no,yes,no,no,complete
Muspicea borreli,nematode,1,1,1,1,no,adult,def,no,1.75,0.25,0.085902924,1st,no,no,no,no,complete
Nematodiroides zembrae,nematode,1,1,1,0,NA,free larva,NA,no,0.974,0.0275,0.000578514,propagule,no,yes,no,no,complete
Nematodiroides zembrae,nematode,1,1,1,1,no,adult,def,no,11.6,0.084,0.064284526,1st,no,no,no,no,complete
Nematodirus abnormalis,nematode,1,1,1,0,NA,free larva,NA,no,0.9905,NA,NA,propagule,no,yes,no,no,all missing
Nematodirus abnormalis,nematode,1,1,1,1,no,adult,def,no,17.55,NA,NA,1st,no,no,no,no,all missing
Nematodirus battus,nematode,1,1,1,0,NA,free larva,NA,no,0.851,NA,NA,propagule,no,yes,no,no,incomplete
Nematodirus battus,nematode,1,1,1,1,no,adult,def,no,18.15,0.23,0.757386938,1st,no,no,no,no,incomplete
Nematodirus filicollis,nematode,1,1,1,0,NA,free larva,NA,no,0.792,0.0275,0.000593957,propagule,no,yes,no,no,complete
Nematodirus filicollis,nematode,1,1,1,1,no,adult,def,no,16.83333333,0.2,0.529591527,1st,no,no,no,no,complete
Nematodirus helvetianus,nematode,1,1,1,0,NA,free larva,NA,no,1.107,0.035,0.001065059,propagule,no,yes,no,no,incomplete
Nematodirus helvetianus,nematode,1,1,1,1,no,adult,def,no,21.5,NA,NA,1st,no,no,no,no,incomplete
Nematodirus spathiger,nematode,1,1,1,0,NA,free larva,NA,no,1.0365,NA,NA,propagule,no,yes,no,no,incomplete
Nematodirus spathiger,nematode,1,1,1,1,no,adult,def,no,21.75,0.3425,2.603202213,1st,no,no,no,no,incomplete
Nematoparataenia southwelli,cestode,2,2,2,0,NA,embryo,NA,no,0.016,0.0135,0.000113097,propagule,yes,no,no,no,complete
Nematoparataenia southwelli,cestode,2,2,2,1,no,1larv,int,no,0.1815,0.1725,0.016393223,1st,no,yes,no,no,complete
Nematoparataenia southwelli,cestode,2,2,2,2,no,adult,def,no,3.025,0.335,0.68675,2nd,no,no,no,no,complete
Neocamallanus ophiocephali,nematode,2,2,2,0,NA,free larva,NA,no,0.265,0.012,2.88E-05,propagule,yes,no,no,no,incomplete
Neocamallanus ophiocephali,nematode,2,2,2,1,no,1larv,int,no,0.574,NA,NA,1st,no,yes,no,no,incomplete
Neocamallanus ophiocephali,nematode,2,2,2,2,no,adult,def,no,10.7,0.509,3.168091202,2nd,no,no,no,no,incomplete
Neocamallanus singhi,nematode,2,3,2.5,0,NA,free larva,NA,yes,0.237,0.013,3.15E-05,propagule,yes,no,no,no,incomplete
Neocamallanus singhi,nematode,2,3,2.5,1,no,1larv,int,yes,0.684,0.036,0.000696227,1st,yes,no,yes,no,incomplete
Neocamallanus singhi,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Neocamallanus singhi,nematode,2,3,2.5,3,no,adult,def,yes,10.2756,0.2183,0.413571519,3rd,no,no,no,no,incomplete
Neoctenotaenia ctenoides,cestode,2,2,2,0,NA,embryo,NA,no,0.02,0.02,0.00020944,propagule,yes,no,no,no,complete
Neoctenotaenia ctenoides,cestode,2,2,2,1,no,1larv,int,no,0.14,0.13,0.009529498,1st,no,yes,no,no,complete
Neoctenotaenia ctenoides,cestode,2,2,2,2,no,adult,def,no,375,10,3750,2nd,no,no,no,no,complete
Neoechinorhynchus cristatus,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.0435,0.016,0.000365996,propagule,yes,no,no,no,incomplete
Neoechinorhynchus cristatus,acanthocephalan,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,incomplete
Neoechinorhynchus cristatus,acanthocephalan,2,2,2,2,no,adult,def,no,4.75,0.43,0.689795572,2nd,no,no,no,no,incomplete
Neoechinorhynchus cylindratus,acanthocephalan,2,4,3,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Neoechinorhynchus cylindratus,acanthocephalan,2,4,3,1,no,1larv,int,yes,0.79,0.09,0.005025763,1st,yes,no,yes,no,incomplete
Neoechinorhynchus cylindratus,acanthocephalan,2,4,3,2,paratenic,2larv,int,yes,2.265,0.2975,0.160158099,2nd,no,yes,no,no,incomplete
Neoechinorhynchus cylindratus,acanthocephalan,2,4,3,3,no,adult,def,yes,9.1,0.525,1.969925856,3rd,no,no,no,no,incomplete
Neoechinorhynchus emydis,acanthocephalan,3,3,3,0,NA,embryo,NA,no,0.022,0.011,0.000126711,propagule,yes,no,no,no,incomplete
Neoechinorhynchus emydis,acanthocephalan,3,3,3,1,no,1larv,int,no,NA,NA,NA,1st,yes,no,no,no,incomplete
Neoechinorhynchus emydis,acanthocephalan,3,3,3,2,no,2larv,int,no,1.445,0.25,0.074102144,2nd,no,yes,no,no,incomplete
Neoechinorhynchus emydis,acanthocephalan,3,3,3,3,no,adult,def,no,16.2,1,12.72345025,3rd,no,no,no,no,incomplete
Neoechinorhynchus rutili,acanthocephalan,2,4,3,0,NA,embryo,NA,yes,0.024,0.009,0.000113097,propagule,yes,no,no,no,complete
Neoechinorhynchus rutili,acanthocephalan,2,4,3,1,no,1larv,int,yes,0.8,0.14,0.014199999,1st,yes,no,yes,no,complete
Neoechinorhynchus rutili,acanthocephalan,2,4,3,2,paratenic,2larv,int,yes,1.311857143,0.1935,0.038565544,2nd,no,yes,no,no,complete
Neoechinorhynchus rutili,acanthocephalan,2,4,3,3,no,adult,def,yes,6.389,0.6475,2.17618614,3rd,no,no,no,no,complete
Neoechinorhynchus saginatus,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.0395,0.015,0.000310232,propagule,yes,no,no,no,complete
Neoechinorhynchus saginatus,acanthocephalan,2,2,2,1,no,1larv,int,no,1.1,0.159,0.021841216,1st,no,yes,no,no,complete
Neoechinorhynchus saginatus,acanthocephalan,2,2,2,2,no,adult,def,no,20,1.675,44.07065444,2nd,no,no,no,no,complete
Neogryporhynchus cheilancristrotus,cestode,3,3,3,0,NA,embryo,NA,no,0.026,0.022,0.000299498,propagule,yes,no,no,no,complete
Neogryporhynchus cheilancristrotus,cestode,3,3,3,1,no,1larv,int,no,0.115,0.115,0.006924594,1st,yes,no,no,no,complete
Neogryporhynchus cheilancristrotus,cestode,3,3,3,2,no,2larv,int,no,0.3848,0.2095,0.021151145,2nd,no,yes,no,no,complete
Neogryporhynchus cheilancristrotus,cestode,3,3,3,3,no,adult,def,no,49,0.4275,20.645,3rd,no,no,no,no,complete
Neoskrjabinolepis schaldybini,cestode,2,2,2,0,NA,embryo,NA,no,0.0285,0.0215,0.000320835,propagule,yes,no,no,no,complete
Neoskrjabinolepis schaldybini,cestode,2,2,2,1,no,1larv,int,no,0.1175,0.1075,0.00712487,1st,no,yes,no,no,complete
Neoskrjabinolepis schaldybini,cestode,2,2,2,2,no,adult,def,no,17.025,0.33325,5.82875,2nd,no,no,no,no,complete
Neostrongylus linearis,nematode,2,2,2,0,NA,free larva,NA,no,0.2825,NA,NA,propagule,yes,no,no,no,incomplete
Neostrongylus linearis,nematode,2,2,2,1,no,1larv,int,no,0.5517,NA,NA,1st,no,yes,no,no,incomplete
Neostrongylus linearis,nematode,2,2,2,2,no,adult,def,no,10.2945,0.043,0.016315683,2nd,no,no,no,no,incomplete
Nesolecithus africanus,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Nesolecithus africanus,cestode,2,2,2,1,no,1larv,int,no,8.05,2.65,21.3325,1st,no,yes,no,no,incomplete
Nesolecithus africanus,cestode,2,2,2,2,no,adult,def,no,28.475,15.95,454.36,2nd,no,no,no,no,incomplete
Nippotaenia mogurndae,cestode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Nippotaenia mogurndae,cestode,2,3,2.5,1,no,1larv,int,yes,0.325,0.153,0.00597525,1st,no,yes,no,no,incomplete
Nippotaenia mogurndae,cestode,2,3,2.5,2,no,adult,def,yes,2.3,0.3225,0.760125,2nd,no,no,no,no,incomplete
Nybelinia surmenicola,cestode,2,3,2.5,0,NA,free larva,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Nybelinia surmenicola,cestode,2,3,2.5,1,no,1larv,int,yes,3.15,2.1,10.91035859,1st,yes,no,yes,no,incomplete
Nybelinia surmenicola,cestode,2,3,2.5,2,paratenic,2larv,int,yes,7.589666667,2.632666667,45.35336523,2nd,no,yes,no,no,incomplete
Nybelinia surmenicola,cestode,2,3,2.5,3,no,adult,def,yes,57,2.985,170.145,3rd,no,no,no,no,incomplete
Obeliscoides cuniculi cuniculi,nematode,1,1,1,0,NA,free larva,NA,no,0.71075,0.022,0.00025906,propagule,no,yes,no,no,complete
Obeliscoides cuniculi cuniculi,nematode,1,1,1,1,no,adult,def,no,14.8,0.185,0.397827732,1st,no,no,no,no,complete
Obeliscoides cuniculi multistriatus,nematode,1,1,1,0,NA,free larva,NA,no,0.54,0.019,0.000153106,propagule,no,yes,no,no,complete
Obeliscoides cuniculi multistriatus,nematode,1,1,1,1,no,adult,def,no,17.3,0.1765,0.404890111,1st,no,no,no,no,complete
Octospinifer macilentis,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.042,0.015,0.000329867,propagule,yes,no,no,no,incomplete
Octospinifer macilentis,acanthocephalan,2,2,2,1,no,1larv,int,no,0.7,0.07,0.002693916,1st,no,yes,no,no,incomplete
Octospinifer macilentis,acanthocephalan,2,2,2,2,no,adult,def,no,10,NA,NA,2nd,no,no,no,no,incomplete
Octospiniferoides chandleri,acanthocephalan,2,3,2.5,0,NA,embryo,NA,yes,0.043,0.011,0.000247662,propagule,yes,no,no,no,complete
Octospiniferoides chandleri,acanthocephalan,2,3,2.5,1,no,1larv,int,yes,0.4475,0.141,0.006636163,1st,no,yes,no,no,complete
Octospiniferoides chandleri,acanthocephalan,2,3,2.5,2,no,adult,def,yes,2.8,0.38,0.408281381,2nd,no,no,no,no,complete
Oesophagostomum asperum,nematode,1,1,1,0,NA,free larva,NA,no,0.9075,NA,NA,propagule,no,yes,no,no,all missing
Oesophagostomum asperum,nematode,1,1,1,1,no,adult,def,no,NA,NA,NA,1st,no,no,no,no,all missing
Oesophagostomum bifurcum,nematode,1,1,1,0,NA,free larva,NA,no,0.8217,0.02945,0.000561404,propagule,no,yes,no,yes,complete
Oesophagostomum bifurcum,nematode,1,1,1,1,no,adult,def,no,14.8,0.437142857,2.207821557,1st,no,no,no,no,complete
Oesophagostomum columbianum,nematode,1,1,1,0,NA,free larva,NA,no,0.829777778,NA,NA,propagule,no,yes,no,no,incomplete
Oesophagostomum columbianum,nematode,1,1,1,1,no,adult,def,no,14.865,0.4,2.010619298,1st,no,no,no,no,incomplete
Oesophagostomum dentatum,nematode,1,1,1,0,NA,free larva,NA,no,0.608166667,0.028,0.000380845,propagule,no,yes,no,no,incomplete
Oesophagostomum dentatum,nematode,1,1,1,1,no,adult,def,no,10.232,NA,NA,1st,no,no,no,no,incomplete
Oesophagostomum kansuensis,nematode,1,1,1,0,NA,free larva,NA,no,NA,NA,NA,propagule,no,yes,no,no,all missing
Oesophagostomum kansuensis,nematode,1,1,1,1,no,adult,def,no,NA,NA,NA,1st,no,no,no,no,all missing
Oesophagostomum quadrispinulatum,nematode,1,1,1,0,NA,free larva,NA,no,0.532,0.026,0.000282454,propagule,no,yes,no,no,incomplete
Oesophagostomum quadrispinulatum,nematode,1,1,1,1,no,adult,def,no,12.19,NA,NA,1st,no,no,no,no,incomplete
Oesophagostomum radiatum,nematode,1,1,1,0,NA,free larva,NA,no,0.80475,NA,NA,propagule,no,yes,no,no,incomplete
Oesophagostomum radiatum,nematode,1,1,1,1,no,adult,def,no,19,0.475,3.366903752,1st,no,no,no,no,incomplete
Oesophagostomum venulosum,nematode,1,1,1,0,NA,free larva,NA,no,0.899,0.03,0.000635466,propagule,no,yes,no,no,complete
Oesophagostomum venulosum,nematode,1,1,1,1,no,adult,def,no,17.3,0.443076923,2.849811441,1st,no,no,no,no,complete
